,rohini,utc_time
587,57.0,2019-08-10 22:00:00
588,66.0,2019-08-10 23:00:00
589,84.0,2019-08-11 00:00:00
590,62.0,2019-08-11 01:00:00
1821,,2019-08-11 02:00:00
591,25.0,2019-08-11 03:00:00
592,24.0,2019-08-11 04:00:00
593,13.0,2019-08-11 05:00:00
594,19.0,2019-08-11 06:00:00
595,18.0,2019-08-11 07:00:00
596,24.0,2019-08-11 08:00:00
597,18.0,2019-08-11 09:00:00
598,17.0,2019-08-11 10:00:00
599,12.0,2019-08-11 11:00:00
600,19.0,2019-08-11 12:00:00
601,19.0,2019-08-11 13:00:00
602,27.0,2019-08-11 14:00:00
603,17.0,2019-08-11 15:00:00
604,42.0,2019-08-11 16:00:00
605,52.0,2019-08-11 17:00:00
606,22.0,2019-08-11 18:00:00
607,9.0,2019-08-11 19:00:00
608,12.0,2019-08-11 20:00:00
609,14.0,2019-08-11 21:00:00
610,12.0,2019-08-11 22:00:00
611,8.0,2019-08-11 23:00:00
612,6.0,2019-08-12 00:00:00
613,7.0,2019-08-12 01:00:00
614,13.0,2019-08-12 02:00:00
615,17.0,2019-08-12 03:00:00
616,20.0,2019-08-12 04:00:00
617,8.0,2019-08-12 05:00:00
618,29.0,2019-08-12 06:00:00
619,18.0,2019-08-12 07:00:00
620,18.0,2019-08-12 08:00:00
621,8.0,2019-08-12 09:00:00
1822,,2019-08-12 10:00:00
1823,,2019-08-12 11:00:00
1824,,2019-08-12 12:00:00
1825,,2019-08-12 13:00:00
622,29.0,2019-08-12 14:00:00
623,44.0,2019-08-12 15:00:00
624,14.0,2019-08-12 16:00:00
625,9.0,2019-08-12 17:00:00
626,13.0,2019-08-12 18:00:00
627,7.0,2019-08-12 19:00:00
628,6.0,2019-08-12 20:00:00
629,22.0,2019-08-12 21:00:00
630,70.0,2019-08-12 22:00:00
631,35.0,2019-08-12 23:00:00
632,18.0,2019-08-13 00:00:00
633,18.0,2019-08-13 01:00:00
634,23.0,2019-08-13 02:00:00
635,24.0,2019-08-13 03:00:00
636,20.0,2019-08-13 04:00:00
637,16.0,2019-08-13 05:00:00
638,16.0,2019-08-13 06:00:00
639,14.0,2019-08-13 07:00:00
640,16.0,2019-08-13 08:00:00
641,7.0,2019-08-13 09:00:00
642,8.0,2019-08-13 10:00:00
643,14.0,2019-08-13 11:00:00
644,23.0,2019-08-13 12:00:00
645,30.0,2019-08-13 13:00:00
646,25.0,2019-08-13 14:00:00
647,29.0,2019-08-13 15:00:00
648,24.0,2019-08-13 16:00:00
649,13.0,2019-08-13 17:00:00
650,27.0,2019-08-13 18:00:00
651,19.0,2019-08-13 19:00:00
652,16.0,2019-08-13 20:00:00
653,9.0,2019-08-13 21:00:00
654,5.0,2019-08-13 22:00:00
655,9.0,2019-08-13 23:00:00
656,18.0,2019-08-14 00:00:00
657,12.0,2019-08-14 01:00:00
658,83.0,2019-08-14 02:00:00
659,40.0,2019-08-14 03:00:00
660,12.0,2019-08-14 04:00:00
661,39.0,2019-08-14 05:00:00
662,57.0,2019-08-14 06:00:00
663,57.0,2019-08-14 07:00:00
664,59.0,2019-08-14 08:00:00
665,41.0,2019-08-14 09:00:00
666,13.0,2019-08-14 10:00:00
667,12.0,2019-08-14 11:00:00
668,31.0,2019-08-14 12:00:00
669,28.0,2019-08-14 13:00:00
670,45.0,2019-08-14 14:00:00
671,46.0,2019-08-14 15:00:00
672,66.0,2019-08-14 16:00:00
673,56.0,2019-08-14 17:00:00
674,63.0,2019-08-14 18:00:00
675,52.0,2019-08-14 19:00:00
676,50.0,2019-08-14 20:00:00
677,59.0,2019-08-14 21:00:00
678,66.0,2019-08-14 22:00:00
679,66.0,2019-08-14 23:00:00
680,52.0,2019-08-15 00:00:00
681,23.0,2019-08-15 01:00:00
682,8.0,2019-08-15 02:00:00
683,95.0,2019-08-15 03:00:00
684,34.0,2019-08-15 04:00:00
685,24.0,2019-08-15 05:00:00
686,11.0,2019-08-15 06:00:00
687,13.0,2019-08-15 07:00:00
688,24.0,2019-08-15 08:00:00
689,19.0,2019-08-15 09:00:00
690,17.0,2019-08-15 10:00:00
691,16.0,2019-08-15 11:00:00
692,8.0,2019-08-15 12:00:00
693,17.0,2019-08-15 13:00:00
694,24.0,2019-08-15 14:00:00
695,35.0,2019-08-15 15:00:00
696,20.0,2019-08-15 16:00:00
697,14.0,2019-08-15 17:00:00
698,13.0,2019-08-15 18:00:00
699,18.0,2019-08-15 19:00:00
700,11.0,2019-08-15 20:00:00
701,18.0,2019-08-15 21:00:00
702,16.0,2019-08-15 22:00:00
703,9.0,2019-08-15 23:00:00
704,11.0,2019-08-16 00:00:00
705,23.0,2019-08-16 01:00:00
706,17.0,2019-08-16 02:00:00
707,34.0,2019-08-16 03:00:00
708,27.0,2019-08-16 04:00:00
709,18.0,2019-08-16 05:00:00
710,13.0,2019-08-16 06:00:00
711,12.0,2019-08-16 07:00:00
712,9.0,2019-08-16 08:00:00
713,12.0,2019-08-16 09:00:00
714,19.0,2019-08-16 10:00:00
715,9.0,2019-08-16 11:00:00
716,7.0,2019-08-16 12:00:00
717,20.0,2019-08-16 13:00:00
718,16.0,2019-08-16 14:00:00
719,9.0,2019-08-16 15:00:00
