,faridabad,utc_time
522,37.0,2019-08-02 20:00:00
523,17.0,2019-08-02 21:00:00
524,8.0,2019-08-02 22:00:00
525,19.0,2019-08-02 23:00:00
526,11.0,2019-08-03 00:00:00
527,22.0,2019-08-03 01:00:00
528,19.0,2019-08-03 02:00:00
529,21.0,2019-08-03 03:00:00
530,23.0,2019-08-03 04:00:00
531,23.0,2019-08-03 05:00:00
532,31.0,2019-08-03 06:00:00
533,29.0,2019-08-03 07:00:00
534,41.0,2019-08-03 08:00:00
535,41.0,2019-08-03 09:00:00
536,48.0,2019-08-03 10:00:00
537,19.0,2019-08-03 11:00:00
538,0.0,2019-08-03 12:00:00
539,0.0,2019-08-03 13:00:00
540,0.0,2019-08-03 14:00:00
541,17.0,2019-08-03 15:00:00
542,17.0,2019-08-03 16:00:00
543,14.0,2019-08-03 17:00:00
544,23.0,2019-08-03 18:00:00
545,18.0,2019-08-03 19:00:00
546,17.0,2019-08-03 20:00:00
547,11.0,2019-08-03 21:00:00
548,17.0,2019-08-03 22:00:00
549,14.0,2019-08-03 23:00:00
550,21.0,2019-08-04 00:00:00
551,17.0,2019-08-04 01:00:00
552,26.0,2019-08-04 02:00:00
553,19.0,2019-08-04 03:00:00
554,15.0,2019-08-04 04:00:00
555,15.0,2019-08-04 05:00:00
556,27.0,2019-08-04 06:00:00
557,28.0,2019-08-04 07:00:00
558,33.0,2019-08-04 08:00:00
559,27.0,2019-08-04 09:00:00
560,31.0,2019-08-04 10:00:00
561,21.0,2019-08-04 11:00:00
562,31.0,2019-08-04 12:00:00
563,44.0,2019-08-04 13:00:00
564,37.0,2019-08-04 14:00:00
565,27.0,2019-08-04 15:00:00
566,30.0,2019-08-04 16:00:00
567,31.0,2019-08-04 17:00:00
568,24.0,2019-08-04 18:00:00
569,26.0,2019-08-04 19:00:00
570,27.0,2019-08-04 20:00:00
571,19.0,2019-08-04 21:00:00
572,25.0,2019-08-04 22:00:00
573,21.0,2019-08-04 23:00:00
574,22.0,2019-08-05 00:00:00
575,21.0,2019-08-05 01:00:00
576,22.0,2019-08-05 02:00:00
577,42.0,2019-08-05 03:00:00
1796,,2019-08-05 04:00:00
578,37.0,2019-08-05 05:00:00
579,37.0,2019-08-05 06:00:00
580,47.0,2019-08-05 07:00:00
581,47.0,2019-08-05 08:00:00
582,31.0,2019-08-05 09:00:00
583,28.0,2019-08-05 10:00:00
584,29.0,2019-08-05 11:00:00
585,41.0,2019-08-05 12:00:00
586,60.0,2019-08-05 13:00:00
587,36.0,2019-08-05 14:00:00
588,41.0,2019-08-05 15:00:00
589,30.0,2019-08-05 16:00:00
590,22.0,2019-08-05 17:00:00
591,24.0,2019-08-05 18:00:00
592,27.0,2019-08-05 19:00:00
593,22.0,2019-08-05 20:00:00
594,17.0,2019-08-05 21:00:00
595,18.0,2019-08-05 22:00:00
596,17.0,2019-08-05 23:00:00
597,23.0,2019-08-06 00:00:00
598,26.0,2019-08-06 01:00:00
599,31.0,2019-08-06 02:00:00
600,31.0,2019-08-06 03:00:00
601,12.0,2019-08-06 04:00:00
