,rohini,local_time
542,22.0,2019-08-10 21:00:00
543,14.0,2019-08-10 22:00:00
544,29.0,2019-08-10 23:00:00
545,18.0,2019-08-11 00:00:00
546,22.0,2019-08-11 01:00:00
547,23.0,2019-08-11 02:00:00
548,57.0,2019-08-11 03:00:00
549,66.0,2019-08-11 04:00:00
550,84.0,2019-08-11 05:00:00
551,62.0,2019-08-11 06:00:00
1709,,2019-08-11 07:00:00
552,25.0,2019-08-11 08:00:00
553,24.0,2019-08-11 09:00:00
554,13.0,2019-08-11 10:00:00
555,19.0,2019-08-11 11:00:00
556,18.0,2019-08-11 12:00:00
557,24.0,2019-08-11 13:00:00
558,18.0,2019-08-11 14:00:00
559,17.0,2019-08-11 15:00:00
560,12.0,2019-08-11 16:00:00
561,16.0,2019-08-11 17:00:00
562,19.0,2019-08-11 18:00:00
563,27.0,2019-08-11 19:00:00
564,17.0,2019-08-11 20:00:00
565,42.0,2019-08-11 21:00:00
566,52.0,2019-08-11 22:00:00
567,22.0,2019-08-11 23:00:00
568,9.0,2019-08-12 00:00:00
569,17.0,2019-08-12 01:00:00
570,12.0,2019-08-12 02:00:00
571,14.0,2019-08-12 03:00:00
572,12.0,2019-08-12 04:00:00
573,8.0,2019-08-12 05:00:00
574,6.0,2019-08-12 06:00:00
575,7.0,2019-08-12 07:00:00
576,13.0,2019-08-12 08:00:00
577,17.0,2019-08-12 09:00:00
578,20.0,2019-08-12 10:00:00
579,8.0,2019-08-12 11:00:00
580,29.0,2019-08-12 12:00:00
581,18.0,2019-08-12 13:00:00
582,18.0,2019-08-12 14:00:00
583,8.0,2019-08-12 15:00:00
1710,,2019-08-12 16:00:00
1711,,2019-08-12 17:00:00
1712,,2019-08-12 18:00:00
584,29.0,2019-08-12 19:00:00
585,29.0,2019-08-12 20:00:00
586,44.0,2019-08-12 21:00:00
587,14.0,2019-08-12 22:00:00
588,9.0,2019-08-12 23:00:00
589,13.0,2019-08-13 00:00:00
590,7.0,2019-08-13 01:00:00
591,6.0,2019-08-13 02:00:00
592,22.0,2019-08-13 03:00:00
593,70.0,2019-08-13 04:00:00
594,35.0,2019-08-13 05:00:00
595,18.0,2019-08-13 06:00:00
596,18.0,2019-08-13 07:00:00
597,23.0,2019-08-13 08:00:00
598,24.0,2019-08-13 09:00:00
599,20.0,2019-08-13 10:00:00
600,16.0,2019-08-13 11:00:00
601,16.0,2019-08-13 12:00:00
602,14.0,2019-08-13 13:00:00
603,16.0,2019-08-13 14:00:00
604,7.0,2019-08-13 15:00:00
605,8.0,2019-08-13 16:00:00
606,14.0,2019-08-13 17:00:00
607,23.0,2019-08-13 18:00:00
608,30.0,2019-08-13 19:00:00
609,25.0,2019-08-13 20:00:00
610,29.0,2019-08-13 21:00:00
611,24.0,2019-08-13 22:00:00
612,13.0,2019-08-13 23:00:00
613,27.0,2019-08-14 00:00:00
614,19.0,2019-08-14 01:00:00
615,16.0,2019-08-14 02:00:00
616,9.0,2019-08-14 03:00:00
617,5.0,2019-08-14 04:00:00
618,9.0,2019-08-14 05:00:00
619,18.0,2019-08-14 06:00:00
620,12.0,2019-08-14 07:00:00
621,83.0,2019-08-14 08:00:00
622,40.0,2019-08-14 09:00:00
623,12.0,2019-08-14 10:00:00
624,39.0,2019-08-14 11:00:00
625,57.0,2019-08-14 12:00:00
626,59.0,2019-08-14 13:00:00
627,41.0,2019-08-14 14:00:00
628,13.0,2019-08-14 15:00:00
629,12.0,2019-08-14 16:00:00
630,31.0,2019-08-14 17:00:00
631,28.0,2019-08-14 18:00:00
632,45.0,2019-08-14 19:00:00
633,46.0,2019-08-14 20:00:00
634,66.0,2019-08-14 21:00:00
635,56.0,2019-08-14 22:00:00
636,63.0,2019-08-14 23:00:00
637,52.0,2019-08-15 00:00:00
638,50.0,2019-08-15 01:00:00
639,59.0,2019-08-15 02:00:00
640,66.0,2019-08-15 03:00:00
641,66.0,2019-08-15 04:00:00
642,52.0,2019-08-15 05:00:00
643,23.0,2019-08-15 06:00:00
644,8.0,2019-08-15 07:00:00
645,95.0,2019-08-15 08:00:00
646,34.0,2019-08-15 09:00:00
647,24.0,2019-08-15 10:00:00
648,11.0,2019-08-15 11:00:00
649,13.0,2019-08-15 12:00:00
650,24.0,2019-08-15 13:00:00
651,19.0,2019-08-15 14:00:00
652,17.0,2019-08-15 15:00:00
653,16.0,2019-08-15 16:00:00
654,8.0,2019-08-15 17:00:00
655,17.0,2019-08-15 18:00:00
656,24.0,2019-08-15 19:00:00
657,35.0,2019-08-15 20:00:00
658,20.0,2019-08-15 21:00:00
659,14.0,2019-08-15 22:00:00
660,13.0,2019-08-15 23:00:00
661,18.0,2019-08-16 00:00:00
662,11.0,2019-08-16 01:00:00
663,18.0,2019-08-16 02:00:00
664,16.0,2019-08-16 03:00:00
665,9.0,2019-08-16 04:00:00
666,11.0,2019-08-16 05:00:00
667,23.0,2019-08-16 06:00:00
668,17.0,2019-08-16 07:00:00
669,34.0,2019-08-16 08:00:00
670,27.0,2019-08-16 09:00:00
671,18.0,2019-08-16 10:00:00
672,13.0,2019-08-16 11:00:00
673,12.0,2019-08-16 12:00:00
674,9.0,2019-08-16 13:00:00
675,12.0,2019-08-16 14:00:00
676,19.0,2019-08-16 15:00:00
677,9.0,2019-08-16 16:00:00
678,7.0,2019-08-16 17:00:00
679,20.0,2019-08-16 18:00:00
680,16.0,2019-08-16 19:00:00
681,9.0,2019-08-16 20:00:00
682,22.0,2019-08-16 21:00:00
683,13.0,2019-08-16 22:00:00
