,pm25,local_time
809,28.0,2019-09-05 22:00:00
810,31.0,2019-09-05 23:00:00
811,30.0,2019-09-06 00:00:00
812,30.0,2019-09-06 01:00:00
813,24.0,2019-09-06 02:00:00
814,55.0,2019-09-06 03:00:00
815,55.0,2019-09-06 04:00:00
816,66.0,2019-09-06 05:00:00
817,64.0,2019-09-06 06:00:00
818,102.0,2019-09-06 07:00:00
819,94.0,2019-09-06 08:00:00
820,74.0,2019-09-06 09:00:00
821,39.0,2019-09-06 10:00:00
822,27.0,2019-09-06 11:00:00
1923,,2019-09-06 12:00:00
1924,,2019-09-06 13:00:00
1925,,2019-09-06 14:00:00
1926,,2019-09-06 15:00:00
823,,2019-09-06 16:00:00
824,41.0,2019-09-06 17:00:00
825,29.0,2019-09-06 18:00:00
826,22.0,2019-09-06 19:00:00
1927,,2019-09-06 20:00:00
1928,,2019-09-06 21:00:00
1929,,2019-09-06 22:00:00
1930,,2019-09-06 23:00:00
1931,,2019-09-07 00:00:00
1932,,2019-09-07 01:00:00
1933,,2019-09-07 02:00:00
1934,,2019-09-07 03:00:00
1935,,2019-09-07 04:00:00
1936,,2019-09-07 05:00:00
827,63.0,2019-09-07 06:00:00
828,129.0,2019-09-07 07:00:00
829,90.0,2019-09-07 08:00:00
830,63.0,2019-09-07 09:00:00
831,47.0,2019-09-07 10:00:00
832,40.0,2019-09-07 11:00:00
833,36.0,2019-09-07 12:00:00
834,39.0,2019-09-07 13:00:00
835,40.0,2019-09-07 14:00:00
836,31.0,2019-09-07 15:00:00
837,40.0,2019-09-07 16:00:00
838,33.0,2019-09-07 17:00:00
839,45.0,2019-09-07 18:00:00
840,59.0,2019-09-07 19:00:00
841,45.0,2019-09-07 20:00:00
842,41.0,2019-09-07 21:00:00
843,29.0,2019-09-07 22:00:00
844,35.0,2019-09-07 23:00:00
845,51.0,2019-09-08 00:00:00
846,22.0,2019-09-08 01:00:00
847,20.0,2019-09-08 02:00:00
848,24.0,2019-09-08 03:00:00
849,46.0,2019-09-08 04:00:00
850,52.0,2019-09-08 05:00:00
851,42.0,2019-09-08 06:00:00
852,51.0,2019-09-08 07:00:00
853,90.0,2019-09-08 08:00:00
854,94.0,2019-09-08 09:00:00
855,47.0,2019-09-08 10:00:00
856,36.0,2019-09-08 11:00:00
857,29.0,2019-09-08 12:00:00
858,27.0,2019-09-08 13:00:00
859,34.0,2019-09-08 14:00:00
860,29.0,2019-09-08 15:00:00
861,28.0,2019-09-08 16:00:00
862,25.0,2019-09-08 17:00:00
863,31.0,2019-09-08 18:00:00
864,27.0,2019-09-08 19:00:00
865,48.0,2019-09-08 20:00:00
866,127.0,2019-09-08 21:00:00
867,62.0,2019-09-08 22:00:00
868,77.0,2019-09-08 23:00:00
869,64.0,2019-09-09 00:00:00
870,56.0,2019-09-09 01:00:00
871,61.0,2019-09-09 02:00:00
872,53.0,2019-09-09 03:00:00
873,70.0,2019-09-09 04:00:00
874,78.0,2019-09-09 05:00:00
875,79.0,2019-09-09 06:00:00
876,90.0,2019-09-09 07:00:00
877,146.0,2019-09-09 08:00:00
878,88.0,2019-09-09 09:00:00
879,52.0,2019-09-09 10:00:00
880,61.0,2019-09-09 11:00:00
881,47.0,2019-09-09 12:00:00
882,50.0,2019-09-09 13:00:00
883,50.0,2019-09-09 14:00:00
884,40.0,2019-09-09 15:00:00
885,45.0,2019-09-09 16:00:00
886,42.0,2019-09-09 17:00:00
887,39.0,2019-09-09 18:00:00
888,41.0,2019-09-09 19:00:00
889,66.0,2019-09-09 20:00:00
890,64.0,2019-09-09 21:00:00
891,83.0,2019-09-09 22:00:00
892,58.0,2019-09-09 23:00:00
893,66.0,2019-09-10 00:00:00
894,88.0,2019-09-10 01:00:00
895,88.0,2019-09-10 02:00:00
896,64.0,2019-09-10 03:00:00
897,80.0,2019-09-10 04:00:00
898,63.0,2019-09-10 05:00:00
899,85.0,2019-09-10 06:00:00
900,101.0,2019-09-10 07:00:00
901,153.0,2019-09-10 08:00:00
902,77.0,2019-09-10 09:00:00
903,55.0,2019-09-10 10:00:00
904,44.0,2019-09-10 11:00:00
905,44.0,2019-09-10 12:00:00
906,41.0,2019-09-10 13:00:00
907,50.0,2019-09-10 14:00:00
908,51.0,2019-09-10 15:00:00
909,51.0,2019-09-10 16:00:00
910,48.0,2019-09-10 17:00:00
911,61.0,2019-09-10 18:00:00
912,91.0,2019-09-10 19:00:00
913,85.0,2019-09-10 20:00:00
914,88.0,2019-09-10 21:00:00
915,99.0,2019-09-10 22:00:00
916,91.0,2019-09-10 23:00:00
917,77.0,2019-09-11 00:00:00
918,83.0,2019-09-11 01:00:00
919,85.0,2019-09-11 02:00:00
920,94.0,2019-09-11 03:00:00
921,86.0,2019-09-11 04:00:00
922,80.0,2019-09-11 05:00:00
923,83.0,2019-09-11 06:00:00
924,88.0,2019-09-11 07:00:00
925,84.0,2019-09-11 08:00:00
