location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-29T01:00:00.000Z,2019-09-29T06:30:00+05:30,pm25,27.03,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-29T00:45:00.000Z,2019-09-29T06:15:00+05:30,pm25,23.59,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-29T00:30:00.000Z,2019-09-29T06:00:00+05:30,pm25,23.59,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-29T00:15:00.000Z,2019-09-29T05:45:00+05:30,pm25,23.59,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-29T00:00:00.000Z,2019-09-29T05:30:00+05:30,pm25,23.7,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-28T23:45:00.000Z,2019-09-29T05:15:00+05:30,pm25,33.28,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-28T23:30:00.000Z,2019-09-29T05:00:00+05:30,pm25,33.28,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-28T23:15:00.000Z,2019-09-29T04:45:00+05:30,pm25,33.28,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-28T23:00:00.000Z,2019-09-29T04:30:00+05:30,pm25,33.28,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-28T22:45:00.000Z,2019-09-29T04:15:00+05:30,pm25,18.76,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-28T22:30:00.000Z,2019-09-29T04:00:00+05:30,pm25,18.76,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-28T22:15:00.000Z,2019-09-29T03:45:00+05:30,pm25,18.76,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-28T22:00:00.000Z,2019-09-29T03:30:00+05:30,pm25,18.76,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-28T21:45:00.000Z,2019-09-29T03:15:00+05:30,pm25,24.8,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-28T21:30:00.000Z,2019-09-29T03:00:00+05:30,pm25,24.8,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-28T21:15:00.000Z,2019-09-29T02:45:00+05:30,pm25,24.8,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-28T21:00:00.000Z,2019-09-29T02:30:00+05:30,pm25,24.75,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
"Urban Estate-II, Hisar - HSPCB",Hisar,IN,2019-09-28T20:45:00.000Z,2019-09-29T02:15:00+05:30,pm25,19.77,µg/m³,29.14056,75.744941,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""}]"
