,time,north_east,south_east,south_west,north_west
252,2019-07-11 12:00:00,0.0,0.0,0.0,0.0
253,2019-07-11 13:00:00,0.0,0.0,0.0,0.0
254,2019-07-11 14:00:00,0.0,0.0,0.0,0.0
255,2019-07-11 15:00:00,0.0,0.0,0.0,0.0
256,2019-07-11 16:00:00,0.0,0.0,0.0,0.0
257,2019-07-11 17:00:00,0.0,0.0,0.0,0.0
258,2019-07-11 18:00:00,0.0,0.0,0.0,0.0
259,2019-07-11 19:00:00,0.0,0.0,0.0,0.0
260,2019-07-11 20:00:00,0.0,307.6192307692308,308.06,0.0
261,2019-07-11 21:00:00,0.0,0.0,0.0,0.0
262,2019-07-11 22:00:00,0.0,0.0,0.0,0.0
263,2019-07-11 23:00:00,0.0,0.0,0.0,0.0
264,2019-07-12 00:00:00,0.0,0.0,0.0,0.0
265,2019-07-12 01:00:00,0.0,0.0,0.0,0.0
266,2019-07-12 02:00:00,0.0,0.0,0.0,0.0
267,2019-07-12 03:00:00,0.0,0.0,0.0,0.0
268,2019-07-12 04:00:00,0.0,0.0,0.0,0.0
269,2019-07-12 05:00:00,0.0,0.0,0.0,0.0
270,2019-07-12 06:00:00,0.0,0.0,0.0,0.0
271,2019-07-12 07:00:00,0.0,335.53,349.95,0.0
272,2019-07-12 08:00:00,0.0,0.0,0.0,0.0
273,2019-07-12 09:00:00,0.0,0.0,0.0,0.0
274,2019-07-12 10:00:00,0.0,0.0,0.0,0.0
275,2019-07-12 11:00:00,0.0,0.0,0.0,0.0
276,2019-07-12 12:00:00,0.0,0.0,0.0,0.0
277,2019-07-12 13:00:00,0.0,0.0,0.0,0.0
278,2019-07-12 14:00:00,0.0,0.0,0.0,0.0
279,2019-07-12 15:00:00,0.0,0.0,0.0,0.0
280,2019-07-12 16:00:00,0.0,0.0,0.0,0.0
281,2019-07-12 17:00:00,0.0,0.0,0.0,0.0
282,2019-07-12 18:00:00,0.0,0.0,0.0,0.0
283,2019-07-12 19:00:00,0.0,0.0,0.0,0.0
284,2019-07-12 20:00:00,0.0,307.9213114754098,306.09999999999997,0.0
285,2019-07-12 21:00:00,0.0,0.0,308.5333333333333,0.0
286,2019-07-12 22:00:00,0.0,0.0,0.0,0.0
287,2019-07-12 23:00:00,0.0,0.0,0.0,0.0
288,2019-07-13 00:00:00,0.0,0.0,0.0,0.0
289,2019-07-13 01:00:00,0.0,0.0,0.0,0.0
